Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
UNIVERSITY AVE,FLORIDA ST,TEXAS ST,20300,19100,15800,15800,16300
UNIVERSITY AVE,TEXAS ST,UTAH ST,19000,19000,19000,19000,19000
UNIVERSITY AVE,UTAH ST,30TH ST,19700,19700,17800,17800,17800
UNIVERSITY AVE,30TH ST,32ND ST,21300,21600,21600,21600,20200
UNIVERSITY AVE,32ND ST,INTERSTATE 805,22700,22700,22700,24300,24300
UNIVERSITY AVE,INTERSTATE 805,SWIFT AVE,24700,25700,24600,24600,24800
UNIVERSITY AVE,SWIFT AVE,35TH ST,14300,14300,14300,15800,15800
UNIVERSITY AVE,35TH ST,40TH ST,17400,17400,17400,15300,16800
UNIVERSITY AVE,40TH ST,43RD ST,26300,24500,22700,22700,25100
UNIVERSITY AVE,43RD ST,FAIRMOUNT AVE,23600,23600,22200,22900,22900
UNIVERSITY AVE,FAIRMOUNT AVE,EUCLID AVE,21100,20200,21300,21300,20900
UNIVERSITY AVE,EUCLID AVE,54TH ST,19800,19600,20300,21200,20000
UNIVERSITY AVE,54TH ST,CHOLLAS PKWY,22600,21000,21000,21000,22700
UNIVERSITY AVE,CHOLLAS PKWY,COLLEGE AVE,23500,23600,26200,26200,25600
UNIVERSITY AVE,COLLEGE AVE,ARAGON DR,15900,15900,14800,19500,19500
UNIVERSITY AVE,ARAGON DR,69TH ST,14800,14400,14400,14400,14400
UPAS ST,ALABAMA ST,TEXAS ST,6000,6000,6000,5600,5600
UPAS ST,TEXAS ST,PERSHING DR,6700,6700,6700,7000,7000
UPAS ST,PERSHING DR,UTAH ST,9900,9900,10500,10500,10500
UPAS ST,UTAH ST,30TH ST (W),9100,9100,9600,9600,9600
UPAS ST,30TH ST (W),30TH ST (E),12800,12600,12600,12600,14200
UPAS ST,30TH ST (E),32ND ST,4400,4400,4300,4300,4300
UPAS ST,32ND ST,BOUNDARY ST,2600,2600,2600,2600,2600
UTAH ST,ADAMS AVE,EL CAJON BLVD,2400,2400,2400,3000,3000
UTAH ST,EL CAJON BLVD,HOWARD AVE,4100,4100,3400,3400,3400
UTAH ST,HOWARD AVE,LINCOLN AVE,2400,2400,2400,2400,2400
UTAH ST,LINCOLN AVE,UNIVERSITY AVE,2300,2300,2300,3100,3100
UTAH ST,UNIVERSITY AVE,NORTH PARK WAY,4100,4100,4100,4100,5300
UTAH ST,NORTH PARK WAY,UPAS ST,2500,2500,1900,1900,1900
VALENCIA PKWY (N),IMPERIAL AVE,LATIMER ST,1400,1400,1400,1400,1400
VALENCIA PKWY (N),LATIMER ST,SKYLINE DR,7600,7600,7400,7400,7400
VALENCIA PKWY (N),SKYLINE DR,PARKMEAD CT,4200,4200,4200,4200,4200
VALENCIA PKWY (N),PARKMEAD CT,DIVISION ST,5300,5300,4600,4600,4600
VALETA ST,W PT LOMA BLVD,FAMOSA BLVD,2500,2500,2500,2500,2500
VALETA ST,FAMOSA BLVD,WORDEN ST,4800,4800,4800,4800,4800
VALLEY CENTRE DR,EL CAMINO REAL,CARMEL CREEK RD,10100,10100,10100,10100,11600
VALLEY RD,SWEETWATER RD (SD),REO DR (W),7900,7900,7300,7300,7300
VANDEVER AVE,RIVERDALE ST,MISSION GORGE RD,4700,4700,4700,4200,4200
VANDEVER AVE,MISSION GORGE RD,DECENA DR,4300,4300,4300,4300,4300
VANDEVER AVE,DECENA DR,CRAWFORD ST,5400,5400,5400,1400,1400
VESTA ST,MAIN ST,INTERSTATE 5,4200,4000,4000,4000,4800
VESTA ST,INTERSTATE 5,DELTA ST/ACACIA ST,4600,3800,3800,3800,4700
VIA ALICANTE,GILMAN DR,VIA MALLORCA,5400,5400,5400,5500,5500
VIA ALICANTE,VIA MALLORCA,VIA SONOMA,2700,2700,2400,2400,2400
VIA CAPRI,HIDDEN VALLEY RD,LA JOLLA SCENIC DR (S),12600,12600,12600,12600,12600
VIA DE LA AMISTAD,PASEO DE LAS AMERICAS,ENRICO FERMI DR,2100,2100,2100,2100,2100
VIA DE LA VALLE,JIMMY DURANTE BLVD,INTERSTATE 5,41500,41500,41500,41500,41500
VIA DE LA VALLE,INTERSTATE 5,FLOWER HILL ML,38000,38000,32700,32700,34500
VIA DE LA VALLE,FLOWER HILL ML,SAN ANDRES DR,25000,25000,31500,31500,31500
VIA DE LA VALLE,SAN ANDRES DR,EL CAMINO REAL (W),13100,20000,20000,20000,22400
VIA DE LA VALLE,EL CAMINO REAL (W),EL CAMINO REAL (E),22500,16300,16300,16300,15300
VIA DE SAN YSIDRO,SAN YSIDRO BLVD,INTERSTATE 5,18700,18700,18700,18700,22500
VIA DEL CAMPO,RANCHO BERNARDO RD,BERNARDO DR,4700,4700,4700,4700,4700
VIA LAS CUMBRES,FRIARS RD,LINDA VISTA RD,9500,9200,9200,9200,9200
VIA MALLORCA,VILLA LA JOLLA DR,VIA ALICANTE,5500,5200,5200,5200,4300
VIA MALLORCA,VIA ALICANTE,CAMINITO AMECA,4300,4300,3900,3900,3900
VIA VALARTA,ANTIGUA BLVD,CLAIREMONT MESA DR,3900,3900,3900,3900,3300
VIEWRIDGE AVE,BALBOA AVE,RUFFIN CT,5100,5100,5100,4600,4300
VILLA LA JOLLA DR,LA JOLLA VILLAGE DR,NOBEL DR,26500,26500,26500,27300,24500
VILLA LA JOLLA DR,NOBEL DR,VIA MALLORCA,10000,10000,10000,14400,14400
VILLA LA JOLLA DR,VIA MALLORCA,GILMAN DR,6100,6100,11900,11900,6600
VISTA GRANDE DR/RACINE RD,CELIA VISTA DR,COLLEGE AVE,4500,2400,2400,2400,2400
VISTA HILL AVE,HEALTH CENTER DR,MEADOWLARK DR,8000,8000,8000,8000,8000
VISTA SORRENTO PKWY,CALLE MAR DE MARIPOSA,SORRENTO VALLEY BLVD,16200,16200,16200,16200,16200
VISTA SORRENTO PKWY,SORRENTO VALLEY BLVD,MIRA MESA BLVD,18500,17300,13600,13600,11800
VOLTAIRE ST,WEST POINT LOMA BLVD,BACON ST,3600,3600,3600,3600,3600
VOLTAIRE ST,BACON ST,CABLE ST,5200,5200,5200,5200,5200
VOLTAIRE ST,CABLE ST,SUNSET CLIFFS BLVD,7100,6900,6900,6900,5400
VOLTAIRE ST,SUNSET CLIFFS BLVD,CATALINA BLVD,8100,8100,8600,8600,8600
VOLTAIRE ST,CATALINA BLVD,NIMITZ BLVD,11100,10800,10800,10800,10800
VOLTAIRE ST,NIMITZ BLVD,WORDEN ST,9700,9700,9700,9700,9700
VOLTAIRE ST,WORDEN ST,CHATSWORTH BLVD,8600,8600,8600,8600,8600
WABASH BLVD,INTERSTATE 5,MAIN ST,10000,10000,10000,10000,10000
WABASH BLVD,MAIN ST,32ND ST,6400,6400,6400,11400,11400
WABASKA DR/TENNYSON ST,VOLTAIRE ST,NIMITZ BLVD,2400,2400,2400,2800,2800
WANDEMERE DR,RIDGE MANOR AVE,PARK RIDGE BLVD,1900,1900,1900,1900,3100
WANDEMERE DR,PARK RIDGE BLVD,GOLFCREST DR,1500,1500,1500,1500,1500
WARING RD,NAVAJO RD,PRINCESS VIEW DR,16300,16300,15900,15900,15900
WARING RD,PRINCESS VIEW DR,ZION AVE,16100,16100,16100,16100,16100
WARING RD,ZION AVE,ORCUTT AVE,17400,17400,16800,16800,16800
WARING RD,ORCUTT AVE,INTERSTATE 8,18100,18100,18100,18100,18100
WASHINGTON ST,PACIFIC HWY,HANCOCK ST,15800,15600,15600,15700,15700
WASHINGTON ST,HANCOCK ST,INTERSTATE 5,23700,23700,23700,25100,25100
WASHINGTON ST,INTERSTATE 5,SAN DIEGO AVE,23700,23700,23700,23700,23700
WASHINGTON ST,SAN DIEGO AVE,UNIVERSITY AVE,30000,28700,28700,28700,29200
WASHINGTON ST,UNIVERSITY AVE,GOLDFINCH ST,21900,21900,21900,19600,19600
WASHINGTON ST,GOLDFINCH ST,FRONT ST,23600,23300,23300,23300,20100
WASHINGTON ST,FRONT ST,1ST AVE,21300,23700,23700,23700,25300
WASHINGTON ST,1ST AVE,4TH AVE,25700,25700,20000,20000,20000
WASHINGTON ST,4TH AVE,5TH AVE,7200,7200,7200,34600,34600
WASHINGTON ST,5TH AVE,6TH AVE,34900,34900,34900,32800,32800
WASHINGTON ST,6TH AVE,ROUTE 163,33500,23900,23900,23900,24300
WASHINGTON ST,ROUTE 163,LINCOLN AVE,40900,36900,36900,36900,30800
WASHINGTON ST,LINCOLN AVE,CLEVELAND AVE,28000,29100,29100,29100,28400
WASHINGTON ST,CLEVELAND AVE,NORMAL ST,30800,26900,26900,27300,28100
WEST BERNARDO DR,INTERSTATE 15,AGUAMIEL RD,6300,6300,6300,6300,6300
WEST BERNARDO DR,AGUAMIEL RD,BERNARDO CENTER DR (N),4900,4900,6800,6800,6800
WEST BERNARDO DR,BERNARDO CENTER DR (N),RANCHO BERNARDO RD,17300,17300,17700,17700,17700
WEST BERNARDO DR,RANCHO BERNARDO RD,BERNARDO CENTER DR (S),11400,11400,16300,16300,16300
WEST HILLS PKWY (SANTEE),MAST BLVD,CARLTON OAKS DR,10500,9200,9200,9200,10700
WEST HILLS PKWY (SANTEE),CARLTON OAKS DR,MISSION GORGE RD,8900,8100,8100,8100,8300
WEST MISSION BAY DR,MISSION BLVD,QUIVIRA RD,18200,18200,18200,24000,24000
WEST MISSION BAY DR,QUIVIRA RD,INGRAHAM ST,36100,35100,35100,35100,33000
WEST MISSION BAY DR,INGRAHAM ST,SEA WORLD DR,73300,59100,59100,59100,53900
WEST MISSION BAY DR,SEA WORLD DR,INTERSTATE 8,60400,58600,58600,34500,42800
WEST MORENA BLVD,MORENA BLVD (S),TECOLOTE RD,12800,12800,12800,11500,12500
WEST MORENA BLVD,TECOLOTE RD,MORENA BLVD (N),13400,13400,13400,14400,14400
WEST MUIRLANDS DR,FAY ST,NAUTILUS ST,5300,5200,5200,5200,5300
WEST PARK AVE,SAN YSIDRO BLVD,BEYER BLVD,4200,4200,4200,4200,4200
WEST POINT LOMA BLVD,ABBOTT ST,BACON ST,6700,6400,6400,6400,5800
WEST POINT LOMA BLVD,BACON ST,CABLE ST,12900,12900,12900,12900,12900
WEST POINT LOMA BLVD,CABLE ST,SUNSET CLIFFS BLVD,23000,23000,23000,21000,21000
WEST POINT LOMA BLVD,SUNSET CLIFFS BLVD,NIMITZ BLVD,14000,14000,14000,14200,14200
WEST POINT LOMA BLVD,NIMITZ BLVD,ADRIAN ST,15800,15800,15800,14700,14700
WEST POINT LOMA BLVD,ADRIAN ST,MIDWAY DR,24100,24100,24100,24100,24100
WESTMORE RD,MONTONGO ST,CAMINO RUIZ,3400,3400,3400,3400,3400
WESTMORE RD,CAMINO RUIZ,WESTONHILL DR,6500,6500,6500,6500,7800
WESTMORE RD,WESTONHILL RD,MIRA MESA BLVD,1900,1900,1900,1900,1900
WESTONHILL DR,MENKAR RD,AQUARIUS DR,2800,2800,2400,2400,2400
WESTONHILL DR,AQUARIUS DR,CAPRICORN WY,4400,4800,3800,3800,3800
WESTONHILL DR,CAPRICORN WY,MIRA MESA BLVD,7700,7700,8500,8500,11200
WESTONHILL DR,MIRA MESA BLVD,GOLD COAST DR,4300,4900,4900,4900,4900
WESTONHILL DR,GOLD COAST DR,JADE COAST DR,1900,1900,1800,1800,1800
WESTVIEW PKWY,BLACK MOUNTAIN RD,CAPRICORN WY,7600,7600,7900,7900,7900
WESTVIEW PKWY,CAPRICORN WY,GALVIN AVE,13100,13100,16500,16500,16500
WESTVIEW PKWY,GALVIN AVE,MIRA MESA BLVD,20500,20500,20500,24300,24400
WIGHTMAN ST,SWIFT AVE,35TH ST,5400,5400,4800,4800,4800
WIGHTMAN ST,35TH ST,40TH ST,4700,4700,7200,7200,7200
WIGHTMAN ST,40TH ST,42ND ST,9700,9700,9700,9700,9700
WIGHTMAN ST,42ND ST,43RD ST,5100,5100,5100,5100,5100
WIGHTMAN ST (W/B 1-WAY),43RD ST,FAIRMOUNT AVE,5600,5600,3000,3000,3000
WIGHTMAN ST,FAIRMOUNT AVE,EUCLID AVE,5100,5100,5400,5400,5400
WILLOW CREEK RD,BUSINESS PARK AVE,AVIARY DR,5000,5000,4800,4800,4800
WILLOW CREEK RD,AVIARY DR,POMERADO RD,8200,8200,6400,6400,6400
WILLOW RD,CALLE PRIMERA,CAMINO DE LA PLAZA,15500,15500,10100,10100,10100
WILLOW RD,CAMINO DE LA PLAZA,TIA JUANA ST,5400,5400,5400,5400,5400
WINDING CREEK DR,JACKSON DR,BELL BLUFF DR,2200,2200,2200,2200,2200
WITHERBY ST,HANCOCK ST,PACIFIC HWY,7400,7400,6600,6600,6600
WOODMAN ST,IMPERIAL AVE,MARGARITTA RD,8500,8500,7300,7300,7300
WOODMAN ST,MARGARITTA RD,SKYLINE DR,7300,7300,7300,7300,7100
WOODMAN ST,SKYLINE DR,ARROYO SECO WY,9300,9300,9300,9800,9800
WOODMAN ST,ARROYO SECO WY,PARADISE VALLEY RD,17100,17100,17100,16500,16500
WOODMAN ST,PARADISE VALLEY RD,ALTA VIEW RD,17400,17300,17200,17200,17100
WOODMAN ST,ALTA VIEW DR,ROUTE 54,22900,23600,23600,22700,25600
WORDEN ST,BOB ST,VOLTAIRE ST,4800,4800,4700,4700,4700
WORDEN ST/LELAND ST,BOB ST,POINSETTIA DR,6400,6400,6200,6200,6200
WORLD TRADE DR,CAMINO DEL NORTE,CONFERENCE WAY,9500,9500,8200,8200,8200
WORLD TRADE DR,CONFERENCE WAY,HIGHLAND RANCH RD,9100,9100,8200,8200,8200
WORLD TRADE DR,HIGHLAND RANCH RD,STONEY PEAK DR,5800,5800,5200,5200,5200
YERBA SANTA DR,MONTEZUMA RD,PALO VERDE TER,2300,2300,2300,2300,2300
YSABEL CREEK RD,ROUTE 78,BANDY CANYON RD,600,600,600,600,600
ZION AVE,MISSION GORGE RD,ARCHWOOD AVE,11600,11600,11600,12700,12700
ZION AVE,ARCHWOOD AVE,CRAWFORD ST,10900,10900,10900,10900,10900
ZION AVE,CRAWFORD ST,WARING RD,11400,11400,11700,11700,11700
ZOO PL,PARK BLVD,FLORIDA DR,5600,5600,5600,4400,4400
1ST AVE,ARBOR DR,WASHINGTON ST,5200,5200,5200,4800,4800
1ST AVE,WASHINGTON ST,UNIVERSITY AVE,5600,5600,6000,6000,6000
1ST AVE,UNIVERSITY AVE,ROBINSON AVE,11000,11000,11000,7600,7600
1ST AVE,ROBINSON AVE,PENNSYLVANIA AVE,7500,7500,7500,8100,8100
1ST AVE,PENNSYLVANIA AVE,LAUREL ST,4900,5300,5300,5400,4500
1ST AVE,LAUREL ST,HAWTHORN ST,7300,7300,7300,4400,4400
1ST AVE,HAWTHORN ST,GRAPE ST,3800,3800,3800,3600,3600
1ST AVE,GRAPE ST,INTERSTATE 5,3300,3300,3300,3400,3500
1ST AVE,INTERSTATE 5,ASH ST,22300,18700,16100,16100,24500
1ST AVE,ASH ST,A ST,20100,20100,19600,19600,19600
1ST AVE,A ST,BROADWAY,13600,13600,13600,13600,14000
1ST AVE,BROADWAY,G ST,10400,11100,11100,11300,10800
1ST AVE,G ST,MARKET ST,10400,10400,10400,10400,10400
1ST AVE,MARKET ST,HARBOR DR,5700,5700,5700,5100,3400
2ND AVE,CEDAR ST,A ST,4200,3700,4300,2800,2900
3RD AVE,WASHINGTON ST,UNIVERSITY AVE,3200,3200,3200,2400,3200
3RD AVE,HAWTHORN ST,GRAPE ST,1700,1700,1700,1600,1600
3RD AVE,GRAPE ST,ELM ST,3000,3000,3000,3000,3000
3RD AVE,ELM ST,ASH ST,2400,2400,2400,2200,2200
3RD AVE,ASH ST,A ST,4500,4500,4300,2000,2000
3RD AVE,A ST,B ST,6000,6000,6000,5800,5800
3RD AVE,B ST,C ST,4500,4500,4500,3600,3600
3RD AVE,C ST,BROADWAY,4200,4200,4200,3800,3800
4TH AVE,LEWIS ST,WASHINGTON ST,12400,12400,12400,10500,10500
4TH AVE,WASHINGTON ST,UNIVERSITY AVE,8600,8300,8300,8300,5900
4TH AVE,UNIVERSITY AVE,ROBINSON AVE,10600,10600,9800,8300,8300
4TH AVE,ROBINSON AVE,LAUREL ST,6700,6700,6700,6600,6600
4TH AVE,LAUREL ST,GRAPE ST,7900,7900,7900,6900,7300
4TH AVE,GRAPE ST,DATE(I-5 RAMP),13000,13000,13000,9100,9600
4TH AVE,DATE(I-5 RAMP),CEDAR ST,10300,10300,12500,12500,12500
4TH AVE,CEDAR ST,ASH ST,13800,13800,13000,13000,10500
4TH AVE,ASH ST,A ST,11000,11000,11000,7800,7800
4TH AVE,A ST,BROADWAY,8500,10400,10400,10400,10400
4TH AVE,BROADWAY,F ST,9000,10700,10700,10700,10700
4TH AVE,F ST,MARKET ST,11700,11700,11700,11700,11700
4TH AVE,MARKET ST,ISLAND AVE,5700,5700,5700,4500,4200
4TH AVE,ISLAND AVE,J ST,4900,4900,4900,2900,2900
5TH AVE,WASHINGTON ST,UNIVERSITY AVE,13500,13500,13500,8300,8300
5TH AVE,UNIVERSITY AVE,ROBINSON AVE,9800,9800,9500,8700,8700
5TH AVE,ROBINSON AVE,LAUREL ST,11900,9600,9600,9700,9200
5TH AVE,LAUREL ST,GRAPE ST,9300,9300,9600,8800,9100
5TH AVE,GRAPE ST,INTERSTATE 5,9800,9800,9800,8800,7300
5TH AVE,INTERSTATE 5,ASH ST,11500,11500,10900,10900,10900
5TH AVE,ASH ST,A ST,11400,12100,12100,12100,11300
5TH AVE,A ST,BROADWAY,9900,9900,9900,9900,9900
5TH AVE,BROADWAY,F ST,12000,12100,12100,12100,12100
5TH AVE,F ST,G ST,7300,8900,8900,8900,8900
5TH AVE,G ST,MARKET ST,7900,7900,7900,5800,7100
5TH AVE,MARKET ST,HARBOR DR,6900,6900,6900,5800,5800
6TH AV (RT 163 EXTENSION),ROUTE 163,WASHINGTON ST,36300,36400,36400,36400,38100
6TH AV (RT 163 EXTENSION),WASHINGTON ST,UNIVERSITY AVE,36200,36200,36200,36200,36200
6TH AVE,UNIVERSITY AVE,ROBINSON AVE,22700,22700,22700,24500,24500
6TH AVE,ROBINSON AVE,LAUREL ST,19300,14900,20900,22700,17100
6TH AVE,LAUREL ST,GRAPE ST,10500,11500,10400,10700,12700
6TH AVE,GRAPE ST,INTERSTATE 5,10700,10700,7800,7800,11200
6TH AVE,INTERSTATE 5,ASH ST,13000,13000,10900,17600,17600
6TH AVE,ASH ST,BROADWAY,9300,9300,8300,8300,8300
6TH AVE,BROADWAY,G ST,8600,8600,8600,8600,8600
6TH AVE,G ST,MARKET ST,5700,7800,7800,7800,7800
6TH AVE,MARKET ST,ISLAND ST,5800,5800,5800,5800,5800
7TH AVE,ASH ST,BROADWAY,5500,5500,2700,2700,2700
7TH AVE,BROADWAY,MARKET ST,5800,5800,7200,7200,7200
8TH AVE,ASH ST,BROADWAY,6000,6000,6000,3900,3900
8TH AVE,BROADWAY,F ST,4000,4500,4500,3000,6500
8TH AVE,F ST,G ST,3900,3900,3900,2300,2300
8TH AVE,G ST,MARKET ST,3700,3700,3700,3100,3100
8TH AVE,MARKET ST,HARBOR DR,6600,6600,6600,2700,2700
8TH AVE,WASHINGTON ST,UNIVERSITY AVE,4200,4200,4200,4200,4200
9TH AVE,ASH ST,BROADWAY,2500,2500,2500,1700,1700
9TH AVE,BROADWAY,E ST,3600,3600,3600,2700,2700
9TH AVE,E ST,F ST,4100,4100,4100,4100,5300
9TH AVE,F ST,G ST,2700,2700,2700,2200,2200
9TH AVE,G ST,MARKET ST,2600,2600,2600,2000,2000
10TH AVE,UNIVERSITY AVE,ROBINSON AVE,8900,8900,8900,7600,7600
10TH AVE/RT 163 (S/B),INTERSTATE 5,ASH ST,21800,21800,21800,21800,21800
10TH AVE,ASH ST,A ST,20300,13400,13400,19500,19500
10TH AVE,A ST,B ST,21800,21800,21800,17000,17000
10TH AVE,B ST,C ST,17600,17600,17600,17600,16700
10TH AVE,C ST,BROADWAY,15000,16600,16600,16600,16600
10TH AVE,BROADWAY,F ST,11800,12400,12400,12400,12200
10TH AVE,F ST,G ST,11800,12300,12300,12300,12300
10TH AVE,G ST,MARKET ST,10000,10800,10800,10800,10800
10TH AVE,MARKET ST,IMPERIAL AVE,3800,3800,3800,4400,4400
11TH AVE/RT 163 (N/B),INTERSTATE 5,RUSS BLVD,20200,20200,20200,20200,28600
11TH AVE,RUSS BLVD,B ST,14600,14600,14600,17600,17000
11TH AVE,B ST,C ST,21600,21600,21600,20500,20100
11TH AVE,C ST,BROADWAY,15300,15200,14500,14500,14500
11TH AVE,BROADWAY,F ST,10200,14000,14000,12800,12800
11TH AVE,F ST,G ST,10500,10100,9300,9300,9300
11TH AVE,G ST,MARKET ST,8800,8800,8800,6800,10500
11TH AVE,MARKET ST,IMPERIAL AVE,3200,3200,3200,4600,4600
16TH ST,RUSS BLVD,B ST,2400,2400,2400,6100,6100
16TH ST,B ST,C ST,3300,3300,3300,7400,7400
16TH ST,C ST,BROADWAY,9800,9800,9800,8400,8400
16TH ST,BROADWAY,F ST,9700,10300,10300,10300,10300
16TH ST,F ST,G ST,6500,6500,6500,8900,8800
16TH ST,G ST,MARKET ST,7000,7000,7000,8800,8800
16TH ST,MARKET ST,IMPERIAL AVE,7500,7500,7500,6100,6300
17TH ST,B ST,C ST,2000,2000,2000,2000,2000
17TH ST,C ST,BROADWAY,1800,1800,1800,1900,1900
17TH ST,BROADWAY,E ST,700,700,700,600,600
17TH ST,E ST,F ST,700,700,700,400,400
19TH ST,MARKET ST,G ST,6600,6600,6600,6800,6800
25TH ST,B ST,BROADWAY,9500,9500,9500,8600,8100
25TH ST,BROADWAY,ROUTE 94,12100,12100,12100,12100,11600
25TH ST,ROUTE 94,MARKET ST,12600,12600,12600,12600,12600
25TH ST,MARKET ST,IMPERIAL AVE,8700,8700,6200,7400,7600
25TH ST,IMPERIAL AVE,COMMERCIAL ST,7000,7000,7000,5800,5800
25TH ST (SO BAY),CORONADO AVE,IRIS AVE,4500,4500,4500,3600,3000
26TH ST,FLORIDA DR,B ST,5800,5800,12400,12400,12400
28TH ST,BEECH ST,B ST,3700,3700,3700,3700,3800
28TH ST,B ST,BROADWAY,7600,7600,7600,7300,7600
28TH ST,BROADWAY,ROUTE 94,10100,10100,10100,16000,16000
28TH ST,ROUTE 94,MARKET ST,11800,11800,11800,11800,11800
28TH ST,MARKET ST,IMPERIAL AVE,9300,9300,6800,6800,6800
28TH ST,IMPERIAL AVE,SAMPSON ST,6500,6500,6500,6500,6500
28TH ST,SAMPSON ST,OCEAN VIEW BLVD,6000,6000,6000,3900,3900
28TH ST,OCEAN VIEW BLVD,NATIONAL AVE,8700,10200,10200,10200,10200
28TH ST,NATIONAL AVE,INTERSTATE 5,14200,14200,14200,14300,13800
28TH ST,INTERSTATE 5,MAIN ST,20900,20900,20900,17700,19100
28TH ST,MAIN ST,HARBOR DR,16900,16900,16900,16900,16700
30TH ST,ADAMS AVE,MEADE AVE,5600,5600,5600,3700,3700
30TH ST,MEADE AVE,EL CAJON BLVD,10600,11300,10600,10600,10300
30TH ST,EL CAJON BLVD,HOWARD AVE,11400,11400,11400,11400,10300
30TH ST,HOWARD AVE,LINCOLN AVE,11900,11900,11900,11900,11900
30TH ST,LINCOLN AVE,UNIVERSITY AVE,13400,13400,13000,13000,13000
30TH ST,UNIVERSITY AVE,NORTH PARK WY,13400,13400,13400,12400,12400
30TH ST,NORTH PARK WAY,UPAS ST (W),11600,11600,11600,11600,11600
30TH ST,UPAS ST (E),REDWOOD ST,9500,9500,9500,9500,9500
30TH ST,REDWOOD ST,JUNIPER ST,11500,11500,10500,8700,8700
30TH ST,JUNIPER ST,BEECH ST,3900,3900,3800,3800,3800
30TH ST,A ST,BROADWAY,16200,16200,16200,9700,10300
30TH ST,BROADWAY,ROUTE 94,4500,4500,4500,5100,5100
30TH ST,ROUTE 94,MARKET ST,4500,4500,4500,4900,4900
30TH ST,MARKET ST,IMPERIAL AVE,2700,2700,2700,2900,2900
30TH ST,IMPERIAL AVE,OCEANVIEW BLVD,2900,2900,2900,3200,3200
30TH ST,OCEAN VIEW BLVD,NATIONAL AVE,2900,2900,2900,4500,4500
32ND ST,ORANGE AVE,LINCOLN AVE,1700,1700,1700,1600,1400
32ND ST,LINCOLN AVE,UNIVERSITY AVE,2700,4500,4500,4500,2600
32ND ST,UNIVERSITY AVE,UPAS ST,7300,7300,7500,7500,7500
32ND ST,UPAS ST,REDWOOD ST,4100,4100,3900,3900,3900
32ND ST,REDWOOD ST,JUNIPER ST,5400,5400,5400,1500,1500
32ND ST,ROUTE 94,MARKET ST,7400,7100,7100,7100,7100
32ND ST,MARKET ST,IMPERIAL AVE,7400,5700,5700,5700,5500
32ND ST,IMPERIAL AVE,OCEAN VIEW BLVD,4300,4300,4300,6600,6600
32ND ST,OCEAN VIEW BLVD,NATIONAL AVE,4400,4400,4400,4000,4000
32ND ST,NATIONAL AVE,INTERSTATE 5,6200,6200,6200,5800,5000
32ND ST,INTERSTATE 5,MAIN ST,13000,13000,13000,4500,4500
32ND ST,MAIN ST,WABASH BLVD,12800,13600,13600,13500,19500
32ND ST,WABASH BLVD,HARBOR DR,24200,12600,12600,13500,19700
33RD ST,LANDIS ST,NORTH PARK WAY,3900,3900,3900,3100,3100
33RD ST,ORANGE AVE (E),EL CAJON BLVD,6000,6000,6000,6100,6100
33RD ST,EL CAJON BLVD,MEADE AVE,5800,5800,5800,4800,4700
35TH ST,WILSHIRE DR,ADAMS AVE,1900,1100,1100,1100,1200
35TH ST,ADAMS AVE,MEADE AVE,2600,2600,2800,2800,2800
35TH ST,MEADE AVE,EL CAJON BLVD,3900,3900,3700,3700,3700
35TH ST,EL CAJON BLVD,ORANGE AVE,4200,4200,3000,4600,4600
35TH ST,ORANGE AVE,UNIVERSITY AVE,3200,3200,3200,3200,3200
35TH ST,UNIVERSITY AVE,WIGHTMAN ST,2500,2500,2500,2300,2300
35TH ST,OCEAN VIEW BLVD,FLORENCE ST,7800,7800,7800,6800,6800
35TH ST,FLORENCE ST,LOGAN AVE,7500,7500,7500,6400,6400
35TH ST,LOGAN AVE,NATIONAL AVE,5700,5700,5700,5300,5300
38TH ST,IMPERIAL AVE,OCEAN VIEW BLVD,1600,1600,1600,1400,1400
38TH ST,OCEAN VIEW BLVD,NATIONAL AVE,4300,4300,4300,4300,4300
38TH ST/ACACIA ST,NATIONAL AVE,VESTA ST,4900,4900,4900,4900,4900
40TH ST,OCEAN VIEW BLVD,IMPERIAL AVE,4700,4700,4700,3300,3300
43RD ST,MEADE AVE,EL CAJON BLVD,7500,7500,7500,7400,7400
43RD ST,EL CAJON BLVD,ORANGE AVE,6000,6000,6000,6100,6100
43RD ST,ORANGE AVE,UNIVERSITY AVE,5600,5600,3300,3300,3300
43RD ST,UNIVERSITY AVE,WIGHTMAN ST,5200,5200,5300,5500,5500
43RD ST,WIGHTMAN ST,FAIRMOUNT AVE,3400,3200,3200,3200,3800
43RD ST,LOGAN AVE,NATIONAL AVE,11400,11400,11400,11400,11400
43RD ST,NATIONAL AVE,I-805 RAMPS,15400,15400,15400,15500,15500
43RD ST,I-805 RAMPS,DELTA ST,14700,14700,14700,15200,15200
45TH ST,OCEAN VIEW BLVD,LOGAN AVE,3000,3000,3000,2100,2100
47TH ST,FEDERAL BLVD,HILLTOP DR,11200,11200,11200,13600,13600
47TH ST,HILLTOP DR,MARKET ST,11200,9700,12300,12300,10400
47TH ST,MARKET ST,IMPERIAL AVE,10300,10400,10000,10000,10700
47TH ST,IMPERIAL AVE,OCEAN VIEW BLVD,11100,12000,12000,12000,13000
47TH ST,OCEAN VIEW BLVD,LOGAN AVE,11100,11100,11100,9900,9900
47TH ST,LOGAN AVE,INTERSTATE 805,8800,9500,9500,9500,10700
